Condition,Distance,Subject,Pair
Intra,88.8906062411871,6,1
Intra,97.1108354826716,6,2
Intra,93.5395808656907,6,3
Intra,101.930467049138,6,4
Intra,95.7858290287304,6,5
Intra,104.267779958831,6,6
Intra,92.1571989186744,15,1
Intra,96.4770271766309,15,2
Intra,100.323971519533,15,3
Intra,51.6282482559224,15,4
Intra,53.6757514688439,15,5
Intra,57.5185777853475,20,1
Intra,58.5668114268945,20,2
Intra,60.215866511497,20,3
Intra,56.470500338931,20,4
Intra,56.8851248019031,20,5
Intra,58.0738760257806,20,6
Intra,55.0362698431413,20,7
Intra,54.8347176432016,20,8
Intra,55.5911137942562,20,9
Intra,93.2254032565286,6,1
Intra,98.2849205782715,6,2
Intra,101.92812439075,6,3
Intra,69.5086757064274,18,1
Intra,51.6299928608924,18,2
Intra,50.3581385738472,18,3
Intra,49.861154810296,20,1
Intra,46.2957265180434,20,2
Intra,42.7248104738327,20,3
Intra,44.4722502393588,6,1
Intra,46.7708146604715,6,2
Intra,48.6368045204127,6,3
Intra,53.7739707330911,23,1
Intra,97.4669208286064,3,1
Intra,102.174607950088,3,2
Intra,80.1072906816771,6,1
Intra,85.7106071452561,6,2
Intra,91.4709464175685,6,3
Intra,80.2470796935386,6,4
Intra,87.2590295078678,6,5
Intra,93.2106067877149,6,6
Intra,79.0335847315278,6,7
Intra,83.9657131103064,6,8
Intra,80.6092758968347,6,9
Intra,90.6011638572581,6,10
Intra,85.6591476403376,6,11
Intra,91.303426400458,6,12
Intra,97.0830113564803,6,13
Intra,85.868362691626,6,14
Intra,92.9053661339561,6,15
Intra,98.8739753688011,6,16
Intra,84.8461650956308,6,17
Intra,89.7777259766388,6,18
Intra,85.9889561265236,6,19
Intra,96.1944292888687,6,20
Intra,89.3928402462313,6,21
Intra,95.0744956385387,6,22
Intra,100.88150180369,6,23
Intra,89.9566677101335,6,24
Intra,97.0329749252576,6,25
Intra,102.980055363127,6,26
Intra,89.0581709481594,6,27
Intra,93.9852574699708,6,28
Intra,89.6454270041981,6,29
Intra,99.8703482783298,6,30
Intra,16.6561863547733,18,1
Intra,24.0981005360627,18,2
Intra,47.8395223395063,18,3
Intra,28.7655004229643,18,4
Intra,33.6587811501832,18,5
Intra,36.194060273558,18,6
Intra,25.7015559844231,18,7
Intra,29.7873870333008,18,8
Intra,31.6769463642003,18,9
Intra,29.6670951588897,21,1
Intra,33.0233022908211,21,2
Intra,89.2892726151221,23,1
Intra,97.6443481617013,23,2
Intra,105.332339134748,23,3
Intra,97.7174410699777,23,4
Intra,25.2751141461646,24,1
Intra,33.5273346964026,24,2
Intra,15.6425318227857,24,3
Intra,22.7375389528452,24,4
Intra,26.3937305337297,24,5
Intra,34.2058610400234,24,6
Intra,26.0732762974188,24,7
Intra,31.6959360129132,24,8
Intra,29.5298794982898,24,9
Intra,31.7731868268486,24,10
Intra,76.793668303008,24,11
Intra,85.3949182780363,24,12
Intra,80.0371978523413,24,13
Intra,88.4748052115113,24,14
Intra,83.8921750998718,24,15
Intra,92.1302075836493,24,16
Intra,88.3871030703281,24,17
Intra,96.4150335238174,24,18
Intra,80.2662961968724,24,19
Intra,87.0081140680918,24,20
Intra,85.3187928742193,24,21
Intra,92.2465652142492,24,22
Intra,85.6008791590034,25,1
Intra,88.6641173383337,25,2
Intra,91.7560028125587,25,3
Intra,88.5960924139939,25,4
Intra,91.3093080902885,25,5
Intra,88.0536619232417,25,6
Intra,91.1251617847875,25,7
Intra,94.2705922297822,25,8
Intra,91.4257223455139,25,9
Intra,94.1694394140582,25,10
Intra,79.4262257874379,25,11
Intra,82.4635875348406,25,12
Intra,85.4690791824768,25,13
Intra,83.0271355282123,25,14
Intra,85.6871770192974,25,15
Intra,83.4518271468287,25,16
Intra,86.4896719999276,25,17
Intra,89.5321656947056,25,18
Intra,87.7953409876952,25,19
Intra,90.470001743407,25,20
Intra,87.4762964306742,25,21
Intra,90.5201415490533,25,22
Intra,93.6097050963642,25,23
Intra,92.1768590552396,25,24
Intra,94.8767861063613,25,25
Intra,85.3690254059233,6,1
Intra,84.4286906353343,6,2
Intra,74.7750618264408,6,3
Intra,88.7050612759103,6,4
Intra,88.0146802741446,6,5
Intra,77.9181325429596,6,6
Intra,89.3316912672315,6,7
Intra,88.8723303097279,6,8
Intra,78.8397146885532,6,9
Intra,47.3497125584331,10,1
Intra,51.1230217681652,10,2
Intra,57.9309269422409,10,3
Intra,64.5948627000407,10,4
Intra,61.1769406088335,10,5
Intra,69.6375492392996,10,6
Intra,78.366443999644,10,7
Intra,94.8710282436251,20,1
Intra,96.1009707310213,20,2
Intra,95.49352892662,20,3
Intra,96.7063319328,20,4
Intra,95.343574120521,20,5
Intra,96.5386926039481,20,6
Intra,74.9493617502278,25,1
Intra,75.5732094300098,25,2
Intra,72.215480838314,25,3
Intra,74.4649648086115,25,4
Intra,76.5100986323633,25,5
Intra,45.25010328564,3,1
Intra,48.4530065478242,3,2
Intra,43.1329636186476,3,3
Intra,46.8209537282702,3,4
Intra,35.8167200405501,3,5
Intra,39.9393661897404,3,6
Intra,27.6902823636973,3,7
Intra,32.6099327985239,3,8
Intra,36.403981638086,3,9
Intra,39.7067704204972,3,10
Intra,40.6433823005676,3,11
Intra,44.4822432179178,3,12
Intra,44.4461858113666,3,13
Intra,47.6593060335771,3,14
Intra,36.608557647989,3,15
Intra,40.1309359601172,3,16
Intra,27.0225820807082,3,17
Intra,31.3505425056277,3,18
Intra,34.5258237425082,3,19
Intra,37.3154157655776,3,20
Intra,46.9455493129537,6,1
Intra,52.4981099639849,6,2
Intra,38.6423744573054,6,3
Intra,45.5644197168416,6,4
Intra,47.4789761238756,6,5
Intra,30.4492970322057,6,6
Intra,33.0415237293878,6,7
Intra,36.2492562300546,6,8
Intra,39.3903224973231,6,9
Intra,45.0260062719767,6,10
Intra,44.7678758773092,6,11
Intra,49.5759817140023,6,12
Intra,35.0857790103888,6,13
Intra,39.8205910218837,6,14
Intra,44.1207503862761,6,15
Intra,26.4693311452185,6,16
Intra,28.6370259040504,6,17
Intra,31.5545427611339,6,18
Intra,34.4405427864692,6,19
Intra,39.8509463971035,6,20
Intra,42.0038026661497,6,21
Intra,46.2047875197561,6,22
Intra,31.6046177084041,6,23
Intra,35.4520517791906,6,24
Intra,41.7230009475066,6,25
Intra,22.2473749194491,6,26
Intra,24.2389222692727,6,27
Intra,27.0274569243339,6,28
Intra,29.8604259924475,6,29
Intra,35.1829735842017,6,30
Intra,44.4366993741241,8,1
Intra,40.618392911882,8,2
Intra,28.5747683665673,8,3
Intra,33.5865063326974,8,4
Intra,38.8758423017309,8,5
Intra,38.9276012139228,8,6
Intra,42.3166562490577,8,7
Intra,24.9767928955221,8,8
Intra,68.0614297721997,9,1
Intra,74.1627704823643,9,2
Intra,76.2523216898765,10,1
Intra,75.3014967632537,10,2
Intra,76.0488178742623,10,3
Intra,79.7008388934506,10,4
Intra,94.9875145792219,10,5
Intra,78.0320266891376,10,6
Intra,87.331444475131,10,7
Intra,79.8134121843241,10,8
Intra,78.2661164044769,10,9
Intra,78.2927310221896,10,10
Intra,81.2239262079795,10,11
Intra,94.5602655337801,10,12
Intra,77.2395721079062,10,13
Intra,85.2201263206641,10,14
Intra,91.7964594182698,10,15
Intra,89.9524574448789,10,16
Intra,89.5359512739335,10,17
Intra,91.8710719348736,10,18
Intra,104.491134883321,10,19
Intra,87.0014291185422,10,20
Intra,93.6971959090265,10,21
Intra,41.0788657233914,10,22
Intra,37.4527552950647,10,23
Intra,35.6170444463725,10,24
Intra,37.8512487453672,10,25
Intra,39.585055866636,10,26
Intra,22.4235667378762,10,27
Intra,33.9429466076698,10,28
Intra,85.7366604406743,10,29
Intra,84.2581180611361,10,30
Intra,84.1029403790532,10,31
Intra,86.793623650888,10,32
Intra,96.4137297476429,10,33
Intra,78.8217141089425,10,34
Intra,84.6484188536091,10,35
Intra,98.3729526035634,10,36
Intra,96.6734523814653,10,37
Intra,96.1562304920041,10,38
Intra,98.3391753845198,10,39
Intra,107.034752595617,10,40
Intra,89.3948237073591,10,41
Intra,93.8181119633223,10,42
Intra,49.0283676424789,10,43
Intra,45.6468999878006,10,44
Intra,43.275284905105,10,45
Intra,44.1770856737879,10,46
Intra,32.8291882925748,10,47
Intra,16.1881171150443,10,48
Intra,20.6670666850582,10,49
Intra,50.4996668411759,11,1
Intra,47.7089090711995,11,2
Intra,38.0569748900086,11,3
Intra,34.0965642591428,11,4
Intra,29.9718597142755,11,5
Intra,31.9193377973434,12,1
Intra,37.9102122462318,12,2
Intra,27.9486533812856,12,3
Intra,32.9624027458952,12,4
Intra,38.0600303142216,12,5
Intra,22.1070987780501,12,6
Intra,27.7273828970152,12,7
Intra,28.9131948350616,12,8
Intra,34.6788781350708,12,9
Intra,25.1650853368073,12,10
Intra,29.4662475284745,12,11
Intra,34.5265589730654,12,12
Intra,18.6621493525534,12,13
Intra,24.2604402760067,12,14
Intra,26.2252942188533,12,15
Intra,31.7119635041757,12,16
Intra,22.8063423903646,12,17
Intra,25.9835462837157,12,18
Intra,31.0239773248452,12,19
Intra,15.229855802157,12,20
Intra,20.7999101283592,12,21
Intra,32.4933728479486,13,1
Intra,36.0264112488536,13,2
Intra,40.3951581644683,13,3
Intra,41.5091192911927,13,4
Intra,47.6849568892561,13,5
Intra,37.2612273801077,13,6
Intra,29.4530558426977,13,7
Intra,32.9540663780989,13,8
Intra,37.7034838254523,13,9
Intra,39.2830888183506,13,10
Intra,45.319304368009,13,11
Intra,35.1927789426423,13,12
Intra,25.9322496219405,13,13
Intra,29.3960857069043,13,14
Intra,35.0035347093687,13,15
Intra,37.3791694781108,13,16
Intra,43.1451156113481,13,17
Intra,33.574231042356,13,18
Intra,35.5017279688874,13,19
Intra,38.4606710275571,13,20
Intra,39.2909981389288,13,21
Intra,37.9435482432922,13,22
Intra,44.9607406175262,13,23
Intra,33.1678107321856,13,24
Intra,32.4015166292492,13,25
Intra,35.2946103633073,13,26
Intra,36.035377446289,13,27
Intra,34.9626370211122,13,28
Intra,41.8920633650876,13,29
Intra,30.271663655103,13,30
Intra,29.3355197152149,13,31
Intra,32.167341285887,13,32
Intra,32.7391718565787,13,33
Intra,31.9705792093597,13,34
Intra,38.7785550571535,13,35
Intra,27.3818335566466,13,36
Intra,40.1233375233859,13,37
Intra,42.2945304843318,13,38
Intra,37.7323609886258,13,39
Intra,32.6723773115872,13,40
Intra,40.1694971252973,13,41
Intra,27.5596475785916,13,42
Intra,37.0822201980311,13,43
Intra,39.0927126358986,13,44
Intra,33.9832989555131,13,45
Intra,28.8871963290863,13,46
Intra,36.37860764355,13,47
Intra,23.772866621994,13,48
Intra,33.8403569503161,13,49
Intra,35.6587633688485,13,50
Intra,30.0143985811671,13,51
Intra,24.9917451062597,13,52
Intra,32.4775541095046,13,53
Intra,19.8797012371948,13,54
Intra,65.8411229727175,17,1
Intra,71.0688300616558,17,2
Intra,81.0092336734891,17,3
Intra,70.5488137458188,17,4
Intra,75.8116764891692,17,5
Intra,85.8336963610532,17,6
Intra,76.5726797134358,17,7
Intra,81.8617733079704,17,8
Intra,91.6952294834812,17,9
Intra,83.1265821304472,17,10
Intra,88.4409074145212,17,11
Intra,98.0666092514208,17,12
Intra,87.4106335799831,18,1
Intra,80.0471836723709,18,2
Intra,86.0616455417433,18,3
Intra,91.7538216363971,18,4
Intra,94.9589544041669,18,5
Intra,85.4659132524443,18,6
Intra,91.0415769911325,18,7
Intra,96.4265125381279,18,8
Intra,99.2614718244929,18,9
Intra,90.074403183042,18,10
Intra,95.7025220409462,18,11
Intra,101.121967536111,18,12
Intra,45.6581531165965,22,1
Intra,41.0570919523079,22,2
Intra,47.1247930712958,22,3
Intra,51.7640177587663,22,4
Intra,39.8574061526933,22,5
Intra,35.908821861261,22,6
Intra,41.8604731001724,22,7
Intra,46.5505011422498,22,8
Intra,40.2914307556349,22,9
Intra,33.0286961951544,22,10
Intra,39.122357815985,22,11
Intra,43.6222087073907,22,12
Intra,35.5770234997961,22,13
Intra,27.8541203393543,22,14
Intra,33.9251743382303,22,15
Intra,38.4104482639122,22,16
Intra,30.7609347069299,22,17
Intra,22.5113637521602,22,18
Intra,28.6210437920365,22,19
Intra,33.0891741680672,22,20
Intra,32.9357642560299,23,1
Intra,22.709335876177,23,2
Intra,48.92417306138,23,3
Intra,36.6219469875692,23,4
Intra,83.9083060093522,24,1
Intra,74.5262437721696,24,2
Intra,80.0429375009276,24,3
Intra,85.5037758721144,24,4
Intra,90.659163288266,24,5
Intra,79.3409094116923,24,6
Intra,77.334980996339,24,7
Intra,95.3597937457797,24,8
Intra,85.8175832754702,24,9
Intra,91.3329661607755,24,10
Intra,96.7885335138799,24,11
Intra,101.94076439062,24,12
Intra,90.3302183183866,24,13
Intra,88.8563635319014,24,14
Intra,84.8536242003825,24,15
Intra,74.9338786959154,24,16
Intra,80.3270767423543,24,17
