Condition,GammaAmp,Subject,Pair
Intra,0.253501729611685,6,1
Intra,0.282360920411038,6,2
Intra,0.272877513084756,6,3
Intra,0.344691299435047,6,4
Intra,0.278447411479676,6,5
Intra,0.304475645905316,6,6
Intra,0.245730484962159,15,1
Intra,0.221803447406147,15,2
Intra,0.251751632508247,15,3
Intra,0.260084088295363,15,4
Intra,0.246117761506457,15,5
Intra,0.287356024211719,20,1
Intra,0.270589734377638,20,2
Intra,0.263984161855552,20,3
Intra,0.311966839016991,20,4
Intra,0.269866991065848,20,5
Intra,0.252878861781229,20,6
Intra,0.286541530744334,20,7
Intra,0.265629616415944,20,8
Intra,0.279302377501514,20,9
Intra,0.27001709127396,6,1
Intra,0.235637228870412,6,2
Intra,0.28141007740505,6,3
Intra,0.243271892469059,18,1
Intra,0.285641702914906,18,2
Intra,0.29623606358289,18,3
Intra,0.249729839228998,20,1
Intra,0.251806792376112,20,2
Intra,0.244746500047523,20,3
Intra,0.317016726296902,6,1
Intra,0.283683479584968,6,2
Intra,0.333862093304362,6,3
Intra,0.0197830593800908,23,1
Intra,0.0896194451832353,3,1
Intra,0.042374428251638,3,2
Intra,0.289566488955573,6,1
Intra,0.336019090756113,6,2
Intra,0.211076077028184,6,3
Intra,0.229824438956421,6,4
Intra,0.276595021144966,6,5
Intra,0.158178759228721,6,6
Intra,0.190951533508267,6,7
Intra,0.18713366255795,6,8
Intra,0.31982190937856,6,9
Intra,0.133576319412109,6,10
Intra,0.276170560448802,6,11
Intra,0.284702810635284,6,12
Intra,0.221098849747022,6,13
Intra,0.256008537191513,6,14
Intra,0.260236472996304,6,15
Intra,0.161626850146038,6,16
Intra,0.204358925870095,6,17
Intra,0.211191998566062,6,18
Intra,0.257498457260466,6,19
Intra,0.164045328484291,6,20
Intra,0.316544458462688,6,21
Intra,0.332017326543054,6,22
Intra,0.209820643420308,6,23
Intra,0.220313456903898,6,24
Intra,0.246943323010838,6,25
Intra,0.183858851728932,6,26
Intra,0.166631518721879,6,27
Intra,0.164751345816788,6,28
Intra,0.275456804772094,6,29
Intra,0.187431901738932,6,30
