Condition,Power,Subject,Pair
Power_DMN,251.81300049276,1,1
Power_DMN,396.791188485336,1,2
Power_DMN,267.165614223344,2,1
Power_DMN,509.119736971206,2,2
Power_DMN,348.427671787777,2,3
Power_DMN,374.110857894548,2,4
Power_DMN,1196.09182305875,2,5
Power_DMN,47.1893836161419,3,1
Power_DMN,61.3983931139885,3,2
Power_DMN,51.7942070388493,3,3
Power_DMN,11.3911685860011,3,4
Power_DMN,19.0299064783807,3,5
Power_DMN,126.156297315933,3,6
Power_DMN,323.501449053403,4,1
Power_DMN,569.536443711839,4,2
Power_DMN,209.886746567478,4,3
Power_DMN,139.400813367345,4,4
Power_DMN,189.099013159584,4,5
Power_DMN,209.163985487433,4,6
Power_DMN,87.1001449909001,4,7
Power_DMN,114.328693502955,4,8
Power_DMN,43.5500623613432,4,9
Power_DMN,45.8767097993843,4,10
Power_DMN,131.792206326367,4,11
Power_DMN,55.5036961530992,4,12
Power_DMN,159.013050846164,4,13
Power_DMN,155.935123641257,4,14
Power_DMN,61.3850221153011,5,1
Power_DMN,60.431837130679,5,2
Power_DMN,61.46347279133,5,3
Power_DMN,70.1819574110143,5,4
Power_DMN,15.7777211737767,5,5
Power_DMN,108.373103474507,5,6
Power_DMN,74.5478712468083,5,7
Power_DMN,55.5716123487012,5,8
Power_DMN,227.857136920074,5,9
Power_DMN,184.339284146758,5,10
Power_DMN,141.942847315243,6,1
Power_DMN,106.109826591698,6,2
Power_DMN,146.366084994776,6,3
Power_DMN,152.921772187841,6,4
Power_DMN,83.502229087713,6,5
Power_DMN,28.176495121207,6,6
Power_DMN,442.810174307097,6,7
Power_DMN,6.65174778573749,6,8
Power_DMN,125.933996852883,6,9
Power_DMN,34.2849247709617,6,10
Power_DMN,18.5250779755633,6,11
Power_DMN,6.89421644824373,6,12
Power_DMN,1113.12241687272,7,1
Power_DMN,8.32787905035668,7,2
Power_DMN,42.6988227139607,7,3
Power_DMN,36.0206603918067,7,4
Power_DMN,68.716533727115,7,5
Power_DMN,39.1912604917322,7,6
Power_DMN,70.877977912545,7,7
Power_DMN,41.7258974779874,7,8
Power_DMN,71.5645083330651,7,9
Power_DMN,50.8989862818774,7,10
Power_DMN,61.1765029804377,7,11
Power_DMN,58.6521749300129,7,12
Power_DMN,85.3153565941999,7,13
Power_DMN,14.9246220727903,7,14
Power_DMN,51.3078141454823,7,15
Power_DMN,39.9512234979288,7,16
Power_DMN,6.44437849516434,7,17
Power_DMN,6.10925125811117,7,18
Power_DMN,5.8281280792618,7,19
Power_DMN,7.76618867125497,7,20
Power_DMN,1433.28716864284,7,21
Power_DMN,1425.38874515504,7,22
Power_DMN,42.8023607915788,7,23
Power_DMN,5.16135627032314,7,24
Power_DMN,11.248699152831,7,25
Power_DMN,125.535844559103,7,26
Power_DMN,38.8021706344423,7,27
Power_DMN,184.4017939576,7,28
Power_DMN,42.814376509965,7,29
Power_DMN,36.3477096522754,7,30
Power_DMN,50.0705878653556,8,1
Power_DMN,40.9859008860649,8,2
Power_DMN,148.819033395211,8,3
Power_DMN,64.3381570317417,8,4
Power_DMN,137.835665294327,8,5
Power_DMN,138.245996681171,8,6
Power_DMN,71.6927352648064,8,7
Power_DMN,22.1998208814244,8,8
Power_DMN,71.1896958485544,8,9
Power_DMN,258.774549288455,9,1
Power_DMN,103.764990225836,9,2
Power_DMN,52.7068279878805,9,3
Power_DMN,86.8640884087078,9,4
Power_DMN,50.5051680990806,9,5
Power_DMN,383.052166937822,9,6
Power_DMN,112.374233749945,9,7
Power_DMN,516.709253009706,9,8
Power_DMN,174.307063154336,9,9
Power_DMN,506.787375959988,9,10
Power_DMN,26.1858266212469,9,11
Power_DMN,8.38848052255879,9,12
Power_DMN,45.2533242955843,9,13
Power_DMN,56.8064624940371,9,14
Power_DMN,197.052777464973,9,15
Power_DMN,20.316954315559,9,16
Power_DMN,94.6219081291181,10,1
Power_DMN,23.2702535884027,10,2
Power_DMN,121.359643825735,10,3
Power_DMN,27.6158541273042,10,4
