Condition,GammaAmp,Subject,Pair
Intra,-0.00515637731848228,6,1
Intra,0.0146042781574062,6,2
Intra,-0.0201847427068072,6,3
Intra,-0.00248687670345859,6,4
Intra,-0.0283852630808762,6,5
Intra,0.00521996211307265,6,6
Intra,-0.0102551483228873,15,1
Intra,-0.020670589703816,15,2
Intra,-0.0262517506005209,15,3
Intra,0.0169148774998756,15,4
Intra,0.00669904472599011,15,5
Intra,-0.0078785610096427,20,1
Intra,-0.00431108241473421,20,2
Intra,-0.0439861732246106,20,3
Intra,0.0032888909758156,20,4
Intra,-0.0177487553172836,20,5
Intra,-0.0141070929233793,20,6
Intra,0.0197153929163936,20,7
Intra,-0.0310219982792002,20,8
Intra,0.0135883854430045,20,9
Intra,-0.00584371336271658,6,1
Intra,-0.00316377321018748,6,2
Intra,-0.0020095294916655,6,3
Intra,-0.0285290925412558,18,1
Intra,0.0165712770805643,18,2
Intra,0.0182686951109533,18,3
Intra,0.00366412614841146,20,1
Intra,-0.0148638858709711,20,2
Intra,0.0235736797402277,20,3
Intra,-0.00408619576798764,6,1
Intra,0.021036738454102,6,2
Intra,0.00816531621798479,6,3
Intra,0.00227127271819249,23,1
Intra,0.000283820879398304,3,1
Intra,0.0175003501745203,3,2
Intra,0.0208720222300088,6,1
Intra,0.00634986244633672,6,2
Intra,0.0194542755896013,6,3
Intra,1.10492154690265e-05,6,4
Intra,0.00369407057310567,6,5
Intra,0.00578993064691968,6,6
Intra,0.00397885139131087,6,7
Intra,0.0081872177369381,6,8
Intra,-0.00368148768886728,6,9
Intra,0.00208404848253783,6,10
Intra,0.00128378959965647,6,11
Intra,0.0081822928572497,6,12
Intra,0.0149404183391694,6,13
Intra,-0.0130369866447743,6,14
Intra,-0.0026057644094784,6,15
Intra,0.0275783575711604,6,16
Intra,0.00541672624532348,6,17
Intra,0.0052429607927345,6,18
Intra,-0.00372864988687886,6,19
Intra,0.0258389082287735,6,20
Intra,0.00774823283249214,6,21
Intra,0.0143873496226636,6,22
Intra,-0.00640564671667502,6,23
Intra,-0.0204543727632597,6,24
Intra,-0.0133958603433183,6,25
Intra,-0.00631620675483553,6,26
Intra,0.0111874634361645,6,27
Intra,0.0115451458737301,6,28
Intra,-0.000380576358385004,6,29
Intra,0.00710264952455794,6,30
Intra,0.069442889573691,18,1
Intra,0.0382848556736798,18,2
Intra,0.0136924759755033,18,3
Intra,0.0979314911201964,18,4
Intra,0.0177917748228968,18,5
Intra,0.0203967684228222,18,6
Intra,0.0031550743973983,18,7
Intra,0.00259694225406642,18,8
Intra,-0.00108807976391925,18,9
Intra,-1.41143305049291e-05,21,1
Intra,0.0117107226181,21,2
Intra,-0.0039958550081639,23,1
Intra,0.00300357343156533,23,2
Intra,-0.0106838055374242,23,3
Intra,0.0108034241696436,23,4
Intra,-0.0183095577562034,24,1
Intra,-0.0259483652761199,24,2
Intra,0.00246119932616562,24,3
Intra,0.00785041324288127,24,4
Intra,-0.0271535146175818,24,5
Intra,-0.015890670260915,24,6
Intra,-0.00996539394509799,24,7
Intra,-0.00459345592366655,24,8
Intra,-0.0106988567716034,24,9
Intra,-0.00562821612101848,24,10
Intra,0.078619499236886,24,11
Intra,-0.0188367047300314,24,12
Intra,0.00104146081323394,24,13
Intra,-0.00726708480879096,24,14
Intra,0.0890379263611252,24,15
Intra,-0.0204039087053277,24,16
Intra,0.14702213871242,24,17
Intra,0.00668267190225862,24,18
Intra,0.00287843606017029,24,19
Intra,0.0123021701355013,24,20
Intra,0.00390679216732603,24,21
Intra,-0.0060902838756032,24,22
Intra,-0.0113302637395701,25,1
Intra,0.00144576630432145,25,2
Intra,-0.00247587612386126,25,3
Intra,0.014557481491836,25,4
Intra,-0.00217673326989385,25,5
Intra,0.0131668602179188,25,6
Intra,-0.0167041141237011,25,7
Intra,-0.0148130539251846,25,8
Intra,0.00646873450727375,25,9
Intra,-0.000640640908436842,25,10
Intra,0.00548686435757529,25,11
Intra,0.00961674783099544,25,12
Intra,0.0127675524189051,25,13
Intra,0.0108753704907352,25,14
Intra,0.0105229615835233,25,15
Intra,-0.00211216350070371,25,16
Intra,-0.00132127266490085,25,17
Intra,-0.0147133992223517,25,18
Intra,-0.00484514377611144,25,19
Intra,0.0291144739234364,25,20
Intra,-0.00179623696062254,25,21
Intra,0.0183542942240384,25,22
Intra,-0.0018645553846098,25,23
Intra,0.00551735659206323,25,24
Intra,0.018270736587693,25,25
Intra,0.00884464203541433,6,1
Intra,0.0206813694886061,6,2
Intra,0.00815207871523932,6,3
Intra,0.00172200652869762,6,4
Intra,0.0142921276592812,6,5
Intra,0.00902761118043587,6,6
Intra,0.00365534931782058,6,7
Intra,-0.0128394006194229,6,8
Intra,-0.00196511718194635,6,9
Intra,-0.00670275482243859,10,1
Intra,0.0242124041699655,10,2
Intra,-0.00922846459643938,10,3
Intra,0.00711269669799874,10,4
Intra,0.0213496206520598,10,5
Intra,0.0111068499991033,10,6
Intra,-0.00288035911924126,10,7
Intra,0.0127905822930914,20,1
Intra,-0.00599215802550612,20,2
Intra,-0.0461457818325239,20,3
