Condition,GammaAmp,Subject,Pair
Intra,0.298622387588497,6,1
Intra,0.286069155945283,6,2
Intra,0.298572332437484,6,3
Intra,0.28573092810761,6,4
Intra,0.303971351728468,6,5
Intra,0.299385877698891,6,6
Intra,0.246311764693889,15,1
Intra,0.250634477569446,15,2
Intra,0.219658384320861,15,3
Intra,0.249601272574842,15,4
Intra,0.246543750357912,15,5
Intra,0.288944307688345,20,1
Intra,0.316990196203511,20,2
Intra,0.317132812566217,20,3
Intra,0.307003245381151,20,4
Intra,0.309866481901261,20,5
Intra,0.319320640542443,20,6
Intra,0.279666102728226,20,7
Intra,0.277428196813014,20,8
Intra,0.275773481375576,20,9
Intra,0.302098405936506,6,1
Intra,0.299482554201668,6,2
Intra,0.295983982307892,6,3
Intra,0.250452042689805,18,1
Intra,0.253305843498244,18,2
Intra,0.249046356759159,18,3
Intra,0.309684371377087,20,1
Intra,0.278055737966454,20,2
Intra,0.256349945840865,20,3
Intra,0.310654480840006,6,1
Intra,0.32984154501676,6,2
Intra,0.31175118255306,6,3
Intra,0.000680564017419467,23,1
Intra,0.059799273626923,3,1
Intra,0.0761494425713143,3,2
Intra,0.301732503550713,6,1
Intra,0.287305672475025,6,2
Intra,0.294106824780544,6,3
Intra,0.286572234185698,6,4
Intra,0.288136601111069,6,5
Intra,0.267161882087862,6,6
Intra,0.211494132381387,6,7
Intra,0.21491179518871,6,8
Intra,0.295573956913933,6,9
Intra,0.256762296323266,6,10
Intra,0.322901510914417,6,11
Intra,0.301564966856375,6,12
Intra,0.28521035096134,6,13
Intra,0.264485814249518,6,14
Intra,0.277030923549682,6,15
Intra,0.270929676206514,6,16
Intra,0.201906381739371,6,17
Intra,0.202715607825089,6,18
Intra,0.286376816324107,6,19
Intra,0.251829201028936,6,20
Intra,0.302690535037499,6,21
Intra,0.290369307630695,6,22
Intra,0.302367207844991,6,23
Intra,0.254090634128223,6,24
Intra,0.285757450846636,6,25
Intra,0.265168278232194,6,26
Intra,0.220008743799803,6,27
Intra,0.223362253412933,6,28
Intra,0.338396339559416,6,29
Intra,0.227974635914961,6,30
Intra,0.267609228752717,18,1
Intra,0.252233981036475,18,2
Intra,0.291921411873944,18,3
Intra,0.287291343905597,18,4
Intra,0.24442636032819,18,5
Intra,0.240053856026194,18,6
Intra,0.260877562708463,18,7
Intra,0.244408524441563,18,8
Intra,0.289658931766336,18,9
Intra,0.164401926178644,21,1
Intra,0.144177316034429,21,2
Intra,0.294269727918493,23,1
Intra,0.285610835500616,23,2
Intra,0.278976740075578,23,3
Intra,0.291710489845299,23,4
Intra,0.181530734022259,24,1
Intra,0.118688149198798,24,2
Intra,0.230984089811721,24,3
Intra,0.143866987529771,24,4
Intra,0.218955896188159,24,5
Intra,0.118825610492819,24,6
